기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀
2020	동대문구	제기동	2,937	2,713	194	85	1,308	328	798	147	77
2020	동대문구	전농1동	950	715	68	98	154	144	251	113	122
2020	동대문구	전농2동	591	506	25	41	255	35	150	39	46
2020	동대문구	답십리2동	625	432	55	75	48	114	140	106	87
2020	동대문구	장안1동	1,111	792	117	139	54	188	294	171	148
2020	동대문구	장안2동	733	501	73	109	25	111	183	114	118
2020	동대문구	이문1동	3,727	3,607	164	84	2,017	182	1,160	71	49
2020	동대문구	이문2동	844	676	42	61	193	93	287	75	93
2020	동대문구	답십리1동	737	559	76	86	72	133	192	93	85
2020	중랑구	소계	10,105	7,405	778	1,151	888	1,549	3,039	1,328	1,372
2020	중랑구	면목2동	694	516	64	83	49	99	221	88	90
2020	중랑구	면목4동	646	471	49	69	44	101	208	84	91
2020	중랑구	면목5동	270	171	16	44	10	32	69	48	51
2020	중랑구	면목7동	646	510	52	62	54	111	231	69	67
2020	중랑구	상봉1동	357	239	29	53	8	66	83	45	73
2020	중랑구	상봉2동	702	542	68	68	45	153	208	90	70
2020	중랑구	중화1동	374	232	17	57	13	52	93	72	70
2020	중랑구	중화2동	1,075	813	111	99	77	223	303	153	109
2020	중랑구	묵1동	427	271	20	73	27	60	91	61	95
2020	중랑구	묵2동	481	353	42	56	49	74	132	64	64
2020	중랑구	망우3동	717	558	24	77	113	42	302	78	81
2020	중랑구	신내1동	365	209	24	60	8	32	85	54	102
2020	중랑구	신내2동	201	123	18	44	*	28	29	31	47
2020	중랑구	면목본동	1,615	1,248	134	129	228	276	481	203	164
2020	중랑구	면목3.8동	816	624	53	84	118	107	262	100	92
2020	중랑구	망우본동	719	525	57	93	41	93	241	88	106
2020	성북구	소계	16,004	13,538	785	1,094	5,229	1,452	4,978	1,077	1,389
2020	성북구	돈암1동	198	146	11	29	25	37	44	24	28
2020	성북구	돈암2동	263	187	7	49	9	72	50	19	57
2020	성북구	안암동	2,117	2,034	117	43	1,112	129	633	40	43
2020	성북구	보문동	656	522	52	55	105	118	192	67	67
2020	성북구	정릉1동	291	224	13	32	74	25	80	26	41
2020	성북구	정릉2동	420	318	11	58	82	33	134	41	61
2020	성북구	정릉3동	1,888	1,785	39	36	1,020	55	635	43	60
2020	성북구	정릉4동	662	526	22	61	234	38	171	58	78
2020	성북구	길음1동	411	277	9	53	8	57	150	48	86
2020	성북구	길음2동	266	184	9	35	31	59	50	35	47
2020	성북구	월곡1동	496	314	41	70	23	83	97	79	103
2020	성북구	월곡2동	858	719	87	63	184	80	305	61	78
2020	성북구	장위1동	425	267	23	60	34	45	105	63	95
2020	성북구	장위2동	462	334	26	53	50	34	171	62	66
2020	성북구	장위3동	363	276	20	41	60	39	116	33	54
2020	성북구	성북동	712	593	31	61	52	95	354	45	74
2020	성북구	삼선동	852	741	47	51	327	86	230	51	60
2020	성북구	동선동	845	794	50	35	372	73	264	21	30
2020	성북구	종암동	2,245	1,996	87	86	1,021	118	684	125	124
2020	성북구	석관동	1,574	1,301	83	123	406	176	513	136	137
2020	강북구	소계	7,382	5,184	485	931	751	1,171	1,846	1,015	1,183
2020	강북구	번1동	740	572	51	81	110	146	184	91	77
2020	강북구	번2동	264	154	14	42	7	23	68	43	67
2020	강북구	번3동	198	98	7	37	*	10	43	33	67
2020	강북구	수유1동	506	317	26	69	33	62	127	82	107
2020	강북구	수유2동	355	219	16	48	24	51	80	65	71
2020	강북구	수유3동	768	574	63	74	99	137	201	103	91
2020	강북구	삼양동	426	272	29	82	29	42	90	53	101
2020	강북구	미아동	878	705	49	79	157	140	280	93	80
2020	강북구	송중동	1,070	859	100	91	180	208	280	114	97
2020	강북구	송천동	928	685	90	104	72	192	227	131	112
2020	강북구	삼각산동	301	177	*	71	*	38	64	50	74
2020	강북구	우이동	356	212	22	60	5	55	70	54	90
2020	강북구	인수동	592	340	15	93	33	67	132	103	149
2020	도봉구	소계	4,876	3,127	363	703	323	633	1,105	785	964
2020	도봉구	쌍문1동	471	323	14	55	108	41	105	62	86
2020	도봉구	쌍문2동	370	246	59	52	11	46	78	52	72
2020	도봉구	쌍문3동	364	233	32	46	25	55	75	68	63
2020	도봉구	쌍문4동	131	66	*	21	*	20	19	25	40
2020	도봉구	방학1동	519	351	39	74	61	57	120	77	91
2020	도봉구	방학2동	508	313	48	63	16	67	119	99	96
2020	도봉구	방학3동	193	110	*	28	11	19	48	24	59
2020	도봉구	창1동	324	223	32	45	17	65	64	54	47
2020	도봉구	창2동	584	387	52	81	25	60	169	93	104
2020	도봉구	창3동	288	162	9	41	8	37	67	55	71
2020	도봉구	창4동	188	131	16	36	*	30	45	23	34
2020	도봉구	창5동	263	176	28	48	11	40	49	37	50
2020	도봉구	도봉1동	359	220	12	60	16	47	85	66	73
2020	도봉구	도봉2동	314	186	14	53	8	49	62	50	78
2020	노원구	소계	7,752	5,745	411	992	1,773	673	1,896	796	1,211
2020	노원구	월계1동	943	838	44	55	442	54	243	48	57
2020	노원구	월계2동	429	248	15	81	22	31	99	67	114
2020	노원구	월계3동	404	259	16	86	11	43	103	58	87
2020	노원구	공릉2동	1,230	1,070	32	81	511	50	396	49	111
2020	노원구	하계1동	811	745	24	40	442	26	213	26	40
2020	노원구	하계2동	139	88	6	41	*	16	22	18	33
2020	노원구	중계본동	155	93	10	25	*	28	27	21	41
2020	노원구	중계1동	209	135	46	26	*	31	31	30	44
2020	노원구	중계4동	117	63	*	21	*	16	21	22	32
2020	노원구	상계1동	338	219	22	70	11	31	85	46	73
2020	노원구	상계2동	333	235	35	39	23	40	98	47	51
2020	노원구	상계5동	306	183	13	50	8	40	72	44	79
2020	노원구	상계8동	120	65	*	36	*	12	14	18	37
2020	노원구	상계9동	227	126	5	52	5	17	47	32	69
2020	노원구	상계10동	122	94	6	31	6	21	30	10	18
2020	노원구	상계3.4동	316	181	13	58	*	41	66	63	72
2020	노원구	상계6.7동	312	214	26	41	26	56	65	40	58
2020	노원구	중계2.3동	351	196	29	72	*	28	64	66	89
2020	노원구	공릉1동	890	693	68	87	246	92	200	91	106
2020	은평구	소계	9,341	6,200	593	1,326	280	1,457	2,544	1,479	1,662
2020	은평구	녹번동	802	560	71	121	21	114	233	117	125
2020	은평구	불광1동	681	434	51	110	15	119	139	110	137
2020	은평구	갈현1동	475	330	61	69	9	73	118	72	73
2020	은평구	갈현2동	733	516	38	93	*	102	281	120	97
2020	은평구	구산동	572	348	27	76	19	57	169	99	125
2020	은평구	대조동	783	565	57	77	33	183	215	115	103
2020	은평구	응암1동	575	361	54	78	17	75	137	110	104
2020	은평구	응암2동	491	287	13	83	5	50	136	90	114
2020	은평구	신사1동	480	299	14	79	16	58	132	78	103
2020	은평구	신사2동	346	245	19	46	9	72	99	39	62
2020	은평구	증산동	265	189	15	41	18	31	84	34	42
2020	은평구	수색동	124	85	5	20	*	14	45	11	28
2020	은평구	진관동	629	415	41	99	9	135	131	74	140
2020	은평구	불광2동	689	442	46	101	10	139	146	134	113
2020	은평구	응암3동	712	504	36	103	64	80	221	97	111
2020	은평구	역촌동	984	620	45	130	32	155	258	179	185
2020	서대문구	소계	16,178	14,307	1,016	965	4,667	1,438	6,221	868	1,003
2020	서대문구	천연동	454	375	60	50	45	85	135	30	49
2020	서대문구	홍제1동	473	355	20	54	14	80	187	58	60
2020	서대문구	홍제3동	299	219	21	41	26	47	84	32	48
2020	서대문구	홍제2동	211	147	8	30	12	35	62	32	32
2020	서대문구	홍은1동	418	318	16	59	46	58	139	46	54
2020	서대문구	홍은2동	1,168	975	49	92	247	80	507	95	98
2020	서대문구	남가좌1동	446	331	10	61	6	50	204	49	66
2020	서대문구	남가좌2동	1,526	1,358	41	84	628	62	543	67	101
2020	서대문구	북가좌1동	303	192	12	49	*	48	80	37	74
2020	서대문구	북가좌2동	744	481	51	92	55	83	200	122	141
2020	서대문구	충현동	676	577	78	72	93	123	211	38	61
2020	서대문구	북아현동	567	470	56	56	34	116	208	55	42
2020	서대문구	신촌동	4,938	4,853	270	55	2,771	211	1,546	47	38
2020	서대문구	연희동	3,955	3,656	324	170	687	360	2,115	160	139
2020	마포구	소계	14,767	12,722	1,290	1,236	3,001	2,019	5,176	898	1,147
2020	마포구	용강동	702	573	72	96	16	105	284	36	93
2020	마포구	대흥동	1,952	1,866	171	48	809	196	642	45	41
2020	마포구	염리동	565	526	56	42	160	84	184	21	18
2020	마포구	신수동	690	613	85	65	135	96	232	28	49
2020	마포구	서교동	2,285	2,166	165	102	852	211	836	70	49
2020	마포구	합정동	639	541	71	68	96	118	188	50	48
2020	마포구	망원1동	622	448	59	77	22	110	180	84	90
2020	마포구	망원2동	455	313	59	61	8	72	113	68	74
2020	마포구	연남동	1,299	1,199	105	70	260	93	671	56	44
2020	마포구	성산1동	566	449	50	60	43	92	204	60	57
2020	마포구	성산2동	630	472	44	82	80	101	165	72	86
2020	마포구	상암동	823	618	93	103	20	78	324	64	141
2020	마포구	도화동	475	393	52	58	15	129	139	38	44
2020	마포구	서강동	1,051	953	62	57	406	123	305	42	56
2020	마포구	공덕동	1,285	1,041	115	146	48	287	445	97	147
2020	마포구	아현동	728	551	31	101	31	124	264	67	110
2020	양천구	소계	8,778	5,847	855	1,111	91	1,832	1,958	1,545	1,386
2020	양천구	목1동	362	252	27	54	12	69	90	36	74
2020	양천구	목2동	527	412	77	79	9	125	122	58	57
2020	양천구	목3동	436	279	35	60	5	84	95	90	67
2020	양천구	목4동	506	342	73	66	*	85	115	85	79
2020	양천구	신월1동	735	490	80	100	8	149	153	142	103
2020	양천구	신월2동	469	274	27	58	*	82	104	117	78
2020	양천구	신월3동	501	335	54	61	10	85	125	85	81
2020	양천구	신월4동	293	149	12	48	*	49	40	56	88
2020	양천구	신월5동	408	242	34	45	*	75	87	82	84
2020	양천구	신월6동	133	78	8	24	*	20	25	20	35
2020	양천구	신월7동	402	218	15	63	*	52	86	81	103
2020	양천구	신정1동	269	187	33	30	*	61	62	40	42
2020	양천구	신정2동	346	261	23	24	*	50	162	46	39
2020	양천구	신정3동	1,020	635	104	130	9	217	175	230	155
2020	양천구	신정6동	123	86	*	21	*	42	19	7	30
2020	양천구	신정7동	456	267	30	81	6	62	88	119	70
2020	양천구	목5동	281	203	28	28	*	106	38	20	58
2020	양천구	신정4동	1,511	1,137	191	139	16	419	372	231	143
2020	강서구	소계	13,018	8,902	1,189	1,720	166	2,950	2,877	2,196	1,920
2020	강서구	염창동	293	193	23	57	11	49	53	29	71
2020	강서구	등촌1동	373	292	35	64	8	101	84	40	41
2020	강서구	등촌2동	257	184	15	41	*	57	68	32	41
2020	강서구	등촌3동	504	312	29	99	10	75	99	107	85
2020	강서구	화곡본동	1,008	666	55	154	23	198	236	185	157
2020	강서구	화곡2동	710	472	51	74	8	185	154	150	88
2020	강서구	화곡3동	413	289	45	35	10	110	89	71	53
2020	강서구	화곡4동	786	535	63	93	6	202	171	141	110
2020	강서구	화곡6동	509	342	37	69	11	100	125	81	86
2020	강서구	화곡8동	1,047	747	103	101	8	272	263	189	111
2020	강서구	가양1동	558	479	103	72	19	147	138	36	43
2020	강서구	가양2동	217	134	28	42	*	21	42	37	46
2020	강서구	가양3동	285	173	8	67	*	46	51	57	55
2020	강서구	발산1동	393	185	14	75	*	40	54	69	139
2020	강서구	공항동	1,155	838	156	103	12	320	247	194	123
2020	강서구	방화1동	682	428	53	99	*	161	113	101	153
2020	강서구	방화2동	657	477	67	74	*	130	202	93	87
2020	강서구	방화3동	347	223	18	72	*	60	71	51	73
2020	강서구	화곡1동	2,336	1,609	255	259	19	556	520	469	258
2020	강서구	우장산동	488	324	31	70	6	120	97	64	100
2020	구로구	소계	54,878	45,610	11,582	2,732	502	17,087	13,707	6,904	2,364
2020	구로구	신도림동	677	491	96	74	14	133	174	80	106
2020	구로구	구로1동	346	207	16	65	6	60	60	67	72
2020	구로구	구로3동	3,791	3,065	617	196	37	1,230	985	546	180
2020	구로구	구로4동	8,918	7,610	2,034	353	28	3,020	2,175	1,071	237
2020	구로구	구로5동	5,885	4,945	1,235	271	64	1,915	1,460	756	184
2020	구로구	고척1동	799	603	68	57	113	149	216	121	75
2020	구로구	고척2동	1,354	1,000	184	99	9	429	279	225	129
2020	구로구	개봉2동	1,123	769	112	95	18	274	270	231	123
2020	구로구	개봉3동	979	679	115	91	13	234	226	199	101
2020	구로구	오류1동	1,456	1,099	185	124	19	450	321	245	112
2020	구로구	수궁동	838	572	83	69	8	222	190	171	95
2020	구로구	가리봉동	8,515	7,850	2,925	267	32	2,878	1,748	583	82
2020	구로구	구로2동	15,889	13,870	3,480	580	58	4,981	4,771	1,714	305
2020	구로구	개봉1동	2,092	1,591	269	156	62	637	467	324	177
2020	구로구	오류2동	1,795	1,072	155	168	6	441	302	455	268
2020	구로구	항동	421	187	8	67	15	34	63	116	118
2020	금천구	소계	32,619	27,116	7,174	1,748	209	10,688	7,297	4,058	1,445
2020	금천구	가산동	5,316	4,789	1,510	183	82	1,810	1,204	418	109
2020	금천구	독산1동	4,065	3,385	899	244	46	1,281	915	501	179
2020	금천구	독산2동	3,445	2,854	739	201	19	1,143	752	437	154
2020	금천구	독산3동	7,854	6,639	1,875	368	26	2,673	1,697	977	238
2020	금천구	독산4동	3,892	3,303	834	179	9	1,343	938	458	131
2020	금천구	시흥1동	4,171	3,447	801	225	12	1,459	950	535	189
2020	금천구	시흥2동	374	184	19	52	*	45	65	108	82
2020	금천구	시흥3동	391	258	43	52	*	84	75	77	56
2020	금천구	시흥4동	1,678	1,207	250	129	*	453	371	297	174
2020	금천구	시흥5동	1,433	1,050	204	115	*	397	330	250	133
2020	영등포구	소계	54,532	46,970	12,361	2,444	434	18,668	13,063	5,849	1,713
2020	영등포구	여의동	737	622	46	80	5	293	198	24	91
2020	영등포구	당산1동	910	766	144	76	25	286	235	97	47
2020	영등포구	당산2동	854	703	110	70	51	216	256	84	67
2020	영등포구	양평1동	528	437	87	56	16	102	176	38	53
2020	영등포구	양평2동	442	343	96	64	20	76	87	40	59
2020	영등포구	신길1동	3,285	2,787	713	150	25	1,088	811	397	101
2020	영등포구	신길3동	2,425	2,006	466	117	14	821	588	301	118
2020	영등포구	신길4동	1,698	1,442	413	61	6	586	376	209	47
2020	영등포구	신길5동	2,462	2,084	557	117	9	821	580	290	88
2020	영등포구	신길6동	2,153	1,830	441	100	20	786	483	260	63
2020	영등포구	신길7동	491	360	70	40	5	135	110	86	45
2020	영등포구	대림1동	5,550	4,777	1,315	211	17	1,914	1,320	628	145
2020	영등포구	대림2동	13,689	12,179	3,603	413	53	4,811	3,299	1,319	191
2020	영등포구	대림3동	8,115	6,977	1,895	343	38	2,828	1,873	911	227
2020	영등포구	영등포본동	4,610	4,047	1,079	206	17	1,714	1,031	471	92
2020	영등포구	영등포동	1,145	945	216	101	76	259	293	136	64
2020	영등포구	도림동	4,950	4,336	1,084	175	35	1,846	1,196	490	124
2020	영등포구	문래동	488	329	26	64	*	86	151	68	91
2020	동작구	소계	18,645	15,932	2,584	1,015	3,151	4,697	4,485	1,654	1,059
2020	동작구	노량진2동	1,523	1,340	336	61	48	485	410	145	38
2020	동작구	상도1동	2,294	2,116	70	74	1,119	149	704	74	104
2020	동작구	상도2동	656	476	64	59	68	148	137	97	83
2020	동작구	상도3동	792	598	112	66	23	223	174	119	75
2020	동작구	상도4동	850	625	101	85	33	237	169	135	90
2020	동작구	사당1동	1,186	1,001	219	75	63	389	255	124	61
2020	동작구	사당3동	541	430	72	56	37	143	122	41	70
2020	동작구	사당4동	372	297	62	34	25	96	80	40	35
2020	동작구	사당5동	267	191	30	36	7	64	54	35	41
2020	동작구	대방동	840	625	106	80	15	226	198	112	103
2020	동작구	신대방1동	4,328	3,781	990	148	57	1,680	906	452	95
2020	동작구	신대방2동	617	490	86	40	21	236	107	67	60
2020	동작구	흑석동	2,858	2,742	109	80	1,544	169	840	40	76
2020	동작구	노량진1동	631	498	67	54	77	144	156	74	59
2020	동작구	사당2동	890	722	160	67	14	308	173	99	69
2020	관악구	소계	28,961	24,096	4,823	1,681	2,160	8,270	7,162	3,313	1,552
2020	관악구	보라매동	1,095	859	193	76	15	347	228	151	85
2020	관악구	청림동	283	208	26	34	34	40	74	31	44
2020	관악구	행운동	950	801	118	71	71	266	275	97	52
2020	관악구	낙성대동	2,033	1,939	248	62	725	246	658	52	42
2020	관악구	중앙동	806	681	153	45	50	252	181	81	44
2020	관악구	인헌동	629	498	65	65	48	155	165	62	69
2020	관악구	남현동	445	350	57	55	26	117	95	55	40
2020	관악구	서원동	1,268	1,063	194	95	65	339	370	147	58
2020	관악구	신원동	2,094	1,790	392	93	55	781	469	240	64
2020	관악구	서림동	1,022	862	104	59	274	171	254	81	79
2020	관악구	신사동	5,296	4,533	1,063	201	64	1,900	1,305	631	132
2020	관악구	신림동	1,336	1,193	286	56	72	422	357	119	24
2020	관악구	난향동	324	188	15	42	*	65	64	60	76
2020	관악구	조원동	3,348	2,877	781	124	46	1,185	741	384	87
2020	관악구	대학동	1,111	1,042	144	42	368	125	363	41	28
2020	관악구	은천동	1,144	881	157	94	22	322	286	176	87
2020	관악구	성현동	510	282	15	76	7	70	114	119	109
2020	관악구	청룡동	2,222	1,934	431	110	189	675	529	209	79
2020	관악구	난곡동	1,165	807	146	120	9	288	244	211	147
2020	관악구	삼성동	464	275	53	46	*	97	76	102	87
2020	관악구	미성동	1,416	1,033	182	115	15	407	314	264	119
2020	서초구	소계	9,326	7,423	1,046	1,047	158	2,432	2,740	521	1,382
2020	서초구	서초1동	463	382	68	50	11	148	105	23	58
2020	서초구	서초2동	565	499	77	47	10	193	172	15	51
2020	서초구	서초3동	714	608	152	74	19	212	151	25	81
2020	서초구	서초4동	621	492	90	72	9	162	159	21	108
2020	서초구	잠원동	504	391	78	63	13	162	75	22	91
2020	서초구	반포본동	130	96	*	13	*	57	26	6	28
2020	서초구	반포1동	845	671	116	79	29	234	213	64	110
2020	서초구	반포2동	559	447	5	52	*	116	274	13	99
2020	서초구	반포3동	232	178	8	45	*	100	24	9	45
2020	서초구	반포4동	999	888	75	75	*	162	572	13	98
2020	서초구	방배본동	463	372	35	54	6	126	151	24	67
2020	서초구	방배1동	319	238	32	55	*	86	61	22	59
2020	서초구	방배2동	329	234	45	40	10	67	72	49	46
2020	서초구	방배3동	367	297	45	41	*	114	93	24	46
2020	서초구	방배4동	586	475	46	71	*	120	237	29	82
2020	서초구	양재1동	897	646	103	110	31	209	193	84	167
2020	서초구	양재2동	464	359	65	54	5	105	130	47	58
2020	서초구	내곡동	269	150	6	52	*	59	32	31	88
2020	강남구	소계	11,348	9,278	1,896	1,177	328	3,195	2,682	595	1,475
2020	강남구	신사동	561	482	131	57	22	169	103	15	64
2020	강남구	논현1동	1,092	1,003	334	71	63	244	291	54	35
2020	강남구	논현2동	638	543	118	67	28	167	163	27	68
2020	강남구	삼성1동	430	375	80	27	7	142	119	13	42
2020	강남구	삼성2동	691	558	86	86	17	194	175	29	104
2020	강남구	대치1동	225	150	*	33	*	76	39	10	65
2020	강남구	대치4동	560	504	143	42	18	149	152	27	29
2020	강남구	역삼1동	1,514	1,388	372	96	88	347	485	61	65
2020	강남구	역삼2동	727	616	114	67	27	197	211	34	77
2020	강남구	도곡1동	336	269	55	44	*	98	69	13	54
2020	강남구	도곡2동	614	457	38	70	*	249	97	23	134
2020	강남구	개포1동	93	71	*	12	*	32	26	10	12
2020	강남구	개포4동	343	255	45	41	*	76	91	27	61
2020	강남구	일원본동	150	101	*	26	*	56	18	9	40
2020	강남구	일원1동	329	227	53	45	*	66	63	38	64
2020	강남구	일원2동	193	134	40	21	*	46	27	20	39
2020	강남구	수서동	228	158	22	37	*	67	30	22	48
2020	강남구	세곡동	586	340	59	99	*	100	79	73	173
2020	강남구	압구정동	691	561	62	80	11	265	143	26	104
2020	강남구	청담동	740	599	73	80	22	264	160	34	107
2020	강남구	대치2동	381	317	57	35	9	114	102	18	46
2020	강남구	개포2동	226	170	11	41	*	77	39	12	44
2020	송파구	소계	13,539	10,262	2,122	1,492	205	3,570	2,873	1,467	1,810
2020	송파구	풍납1동	1,396	1,151	315	69	10	475	282	167	78
2020	송파구	풍납2동	403	280	52	45	17	73	93	60	63
2020	송파구	거여1동	207	129	17	31	*	38	40	30	48
2020	송파구	거여2동	209	142	17	52	*	34	35	30	37
2020	송파구	마천1동	454	270	52	66	6	75	71	79	105
2020	송파구	마천2동	441	247	47	55	*	73	71	98	96
2020	송파구	방이1동	209	157	35	24	*	52	43	22	30
2020	송파구	방이2동	937	785	209	82	41	206	247	88	64
2020	송파구	오륜동	99	79	5	14	*	49	11	*	19
2020	송파구	오금동	528	310	51	68	*	112	79	98	120
2020	송파구	송파1동	753	582	119	73	15	178	197	104	67
2020	송파구	송파2동	326	255	38	37	*	104	73	29	42
2020	송파구	석촌동	1,240	1,023	288	100	24	348	263	132	85
2020	송파구	삼전동	830	614	147	78	15	206	168	116	100
2020	송파구	가락본동	649	532	131	57	9	204	131	61	56
2020	송파구	가락1동	307	215	5	74	*	75	57	12	80
2020	송파구	가락2동	435	329	76	38	12	116	87	54	52
