기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀
2020	송파구	문정1동	361	272	57	46	5	94	70	32	57
2020	송파구	문정2동	440	372	48	70	7	154	93	17	51
2020	송파구	잠실본동	1,054	900	235	89	20	351	205	82	72
2020	송파구	잠실4동	226	169	5	39	*	64	61	8	49
2020	송파구	잠실6동	345	292	35	32	*	61	162	7	46
2020	송파구	잠실7동	121	96	*	16	*	67	11	5	20
2020	송파구	잠실2동	344	218	5	55	*	92	65	28	98
2020	송파구	잠실3동	506	401	52	63	*	137	149	18	87
2020	송파구	장지동	461	299	76	63	*	78	81	59	103
2020	송파구	위례동	258	143	*	56	*	54	28	30	85
2020	강동구	소계	9,174	6,587	1,388	1,056	188	2,188	1,767	1,238	1,349
2020	강동구	강일동	441	216	53	71	*	30	58	83	142
2020	강동구	상일동	332	209	24	61	*	66	58	37	86
2020	강동구	명일1동	205	124	15	49	*	30	26	26	55
2020	강동구	명일2동	96	70	12	20	*	22	14	*	23
2020	강동구	고덕1동	288	194	79	32	*	50	33	26	68
2020	강동구	고덕2동	321	215	36	49	*	72	56	39	67
2020	강동구	암사2동	147	99	19	26	*	28	25	19	29
2020	강동구	암사3동	154	85	9	33	*	28	14	20	49
2020	강동구	천호1동	614	380	59	88	*	114	115	114	120
2020	강동구	천호3동	1,001	795	176	89	44	280	206	128	78
2020	강동구	성내1동	315	202	33	36	6	67	60	50	63
2020	강동구	성내2동	1,389	1,154	297	83	32	447	295	166	69
2020	강동구	성내3동	476	374	92	53	30	93	106	49	53
2020	강동구	둔촌1동	*	*	*	*	*	*	*	*	*
2020	강동구	둔촌2동	379	257	57	38	*	105	56	43	79
2020	강동구	암사1동	698	488	71	102	7	140	168	106	104
2020	강동구	천호2동	1,526	1,217	267	128	32	462	328	191	118
2020	강동구	길동	789	505	88	98	18	154	147	138	146
